Study Hours,Sleep Hours,Last Exam,Internet Access,Academy,Family Income,CoCurricular,Stress Level,Health,Percentage
17.98,8.41,59.93,No,Yes,Low,Moderate,High,Average,62.46
14.17,4.75,59.29,No,Yes,High,Low,Moderate,Average,50.2
18.89,6.61,91.38,Yes,Yes,Moderate,Moderate,Low,Good,89.31
24.14,6.95,97.97,No,No,Moderate,Moderate,Moderate,Average,83.54
13.6,7.02,56.07,Yes,No,Low,Low,Low,Good,46.07
13.6,7.22,59.97,No,Yes,Low,Moderate,Moderate,Average,62.58
24.48,7.73,87.14,No,Yes,High,Moderate,Moderate,Average,86.25
19.6,6.96,78.0,No,Yes,Moderate,High,Low,Good,81.14
12.18,6.56,80.15,Yes,Yes,High,Moderate,High,Good,64.11
18.26,6.51,83.45,Yes,Yes,High,Moderate,Low,Poor,81.1
12.22,6.27,66.39,Yes,No,High,Moderate,Moderate,Good,62.08
12.21,7.95,74.95,Yes,Yes,High,Low,Moderate,Average,64.78
16.45,6.22,73.78,Yes,No,Moderate,High,Low,Average,85.0
3.52,8.02,57.12,Yes,Yes,High,Moderate,Moderate,Average,35.44
4.65,7.02,74.73,Yes,Yes,Moderate,Moderate,Moderate,Average,50.86
11.63,6.37,88.57,Yes,Yes,Moderate,Moderate,High,Average,65.3
8.92,7.74,64.99,Yes,No,High,Low,Moderate,Average,51.32
16.89,6.13,72.29,Yes,Yes,High,Moderate,Low,Poor,67.48
9.55,7.77,73.1,Yes,No,Moderate,High,Moderate,Average,62.75
6.53,7.26,65.73,No,Yes,Moderate,Low,Moderate,Average,35.41
23.79,6.28,80.15,Yes,No,Moderate,Moderate,Low,Average,91.44
13.65,7.63,59.8,Yes,Yes,Moderate,Low,Low,Good,68.03
15.41,7.66,89.99,Yes,Yes,Moderate,Low,High,Good,75.6
6.45,8.39,79.39,Yes,Yes,High,Moderate,Moderate,Good,66.39
11.73,8.16,55.95,Yes,Yes,High,High,Moderate,Good,63.69
15.67,7.59,95.47,Yes,Yes,Moderate,Moderate,Moderate,Average,77.79
8.09,5.65,72.52,Yes,Yes,Moderate,Moderate,High,Average,51.82
17.25,9.94,59.16,Yes,No,Low,High,High,Good,64.63
11.4,5.32,86.57,No,No,Moderate,Moderate,Low,Average,60.36
13.25,8.14,77.42,Yes,Yes,Low,Low,Moderate,Good,70.53
11.39,7.52,43.42,Yes,No,High,Low,Moderate,Average,44.83
26.11,5.59,62.12,Yes,No,Moderate,Low,Moderate,Average,77.88
14.92,6.85,74.19,Yes,No,Low,Moderate,Low,Good,81.15
8.65,6.91,37.61,No,Yes,Moderate,Moderate,High,Average,46.52
19.94,8.57,71.28,No,Yes,Low,Moderate,Moderate,Average,72.31
7.67,6.14,72.37,Yes,Yes,Moderate,Low,Low,Poor,47.27
16.25,6.69,52.25,Yes,Yes,Moderate,Moderate,Low,Average,71.23
3.24,4.2,74.06,Yes,No,Moderate,Low,Low,Average,45.09
7.03,9.08,70.11,Yes,Yes,Low,Low,Moderate,Average,62.05
16.18,5.72,52.13,Yes,No,Moderate,Low,High,Average,48.59
19.43,7.39,83.79,Yes,Yes,Low,High,Moderate,Average,76.03
16.03,6.88,82.57,Yes,Yes,Moderate,Moderate,Moderate,Average,75.86
14.31,6.88,65.65,Yes,No,Low,High,Low,Average,60.68
13.19,7.97,67.02,Yes,Yes,Moderate,Moderate,High,Good,73.33
6.13,9.01,80.89,Yes,Yes,Moderate,Moderate,Low,Good,70.58
10.68,7.3,66.99,Yes,Yes,High,Moderate,High,Average,67.83
12.24,7.79,41.04,Yes,Yes,Low,Low,Moderate,Average,43.11
21.34,7.39,77.3,Yes,No,High,Moderate,Moderate,Good,79.88
17.06,8.22,57.8,Yes,Yes,Low,Low,Moderate,Average,77.13
4.42,6.44,64.15,Yes,Yes,High,High,Low,Good,50.86
16.94,8.29,91.87,Yes,No,Low,Moderate,High,Average,78.88
12.69,8.33,67.99,No,Yes,High,High,High,Average,63.23
10.94,8.3,70.03,Yes,Yes,High,High,Low,Average,69.23
18.67,6.21,77.65,Yes,Yes,Low,Moderate,Low,Poor,75.22
21.19,6.8,77.58,Yes,Yes,Low,High,Moderate,Good,89.18
20.59,7.29,56.21,Yes,Yes,Moderate,Moderate,Moderate,Average,70.84
9.96,5.35,69.1,Yes,Yes,Moderate,Moderate,Low,Average,60.64
13.14,8.91,70.54,Yes,Yes,Moderate,Moderate,Moderate,Average,68.82
16.99,6.99,74.08,Yes,Yes,Moderate,Moderate,Low,Average,74.32
20.85,7.34,74.34,Yes,Yes,Moderate,Low,High,Average,64.9
12.12,6.31,100.0,Yes,No,Moderate,High,Moderate,Good,72.19
13.89,5.41,52.36,Yes,No,Low,Low,Low,Good,61.73
8.36,6.28,84.7,Yes,Yes,Low,Moderate,High,Average,52.1
7.82,7.26,87.75,Yes,No,Moderate,Moderate,Low,Average,59.75
19.88,7.81,77.39,Yes,Yes,Moderate,Moderate,Moderate,Average,77.05
